country,sampling_id,lon,lat,air_pollutant,iso_code
France,SPO-FR20062_5,4.85421,45.75773,PM10,FR
France,SPO-FR20062_6001,4.85421,45.75773,PM2.5,FR
France,SPO-FR20062_6001,4.85421,45.75773,PM2.5,FR
France,SPO-FR20068_5,4.79611,45.93627,PM10,FR
France,SPO-FR20069_5,4.89857,45.77482,PM10,FR
France,SPO-FR20069_5,4.89857,45.77482,PM10,FR
France,SPO-FR20070_5,4.84439,45.74969,PM10,FR
France,SPO-FR20070_5,4.84439,45.74969,PM10,FR
France,SPO-FR20077_5,4.71557,45.99011,PM10,FR
France,SPO-FR20077_5,4.71557,45.99011,PM10,FR
France,SPO-FR20077_6001,4.71557,45.99011,PM2.5,FR
France,SPO-FR20077_6001,4.71557,45.99011,PM2.5,FR
France,SPO-FR27002_5,4.80515,45.36782,PM10,FR
France,SPO-FR27002_5,4.80515,45.36782,PM10,FR
France,SPO-FR27002_5,4.80515,45.36782,PM10,FR
France,SPO-FR27002_5,4.80515,45.36782,PM10,FR
France,SPO-FR27002_5,4.80515,45.36782,PM10,FR
France,SPO-FR27004_5,4.87541,45.52597,PM10,FR
France,SPO-FR27004_6001,4.87541,45.52597,PM2.5,FR
France,SPO-FR27007_5,5.27087,45.60822,PM10,FR
France,SPO-FR27007_5,5.27087,45.60822,PM10,FR
France,SPO-FR27007_5,5.27087,45.60822,PM10,FR
France,SPO-FR27007_5,5.27087,45.60822,PM10,FR
France,SPO-FR27007_6001,5.27087,45.60822,PM2.5,FR
France,SPO-FR27008_5,4.80485,45.35327,PM10,FR
France,SPO-FR27008_5,4.80485,45.35327,PM10,FR
France,SPO-FR27008_6001,4.80485,45.35327,PM2.5,FR
France,SPO-FR27008_6001,4.80485,45.35327,PM2.5,FR
France,SPO-FR27011_5,4.80748,45.34408,PM10,FR
France,SPO-FR27011_6001,4.80748,45.34408,PM2.5,FR
France,SPO-FR29421_5,4.38978,45.46672,PM10,FR
France,SPO-FR29423_5,4.07466,46.04111,PM10,FR
France,SPO-FR29423_5,4.07466,46.04111,PM10,FR
France,SPO-FR29423_5,4.07466,46.04111,PM10,FR
France,SPO-FR29423_5,4.07466,46.04111,PM10,FR
France,SPO-FR29424_5,4.39542,45.42009,PM10,FR
France,SPO-FR29424_5,4.39542,45.42009,PM10,FR
France,SPO-FR29424_5,4.39542,45.42009,PM10,FR
France,SPO-FR29424_6001,4.39542,45.42009,PM2.5,FR
France,SPO-FR29424_6001,4.39542,45.42009,PM2.5,FR
